player_id,first_name,second_name,web_name,player_position,team_id,team_name,form,points_per_game,starts,minutes,goals_scored,assists,yellow_cards,red_cards,penalties_missed,own_goals,goals_conceded,saves,clean_sheets,penalties_saved,goals_per_90,assists_per_90,goals_conceded_per_90,saves_per_90,clean_sheets_per_90,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,ict_index,influence,creativity,threat,form_rank,form_rank_type,ict_index_rank,ict_index_rank_type,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,points_per_game_rank,points_per_game_rank_type,total_points
293,Mads,Hermansen,Hermansen,Goalkeeper,11,Leicester,0.8,2.3,13,1170,0,0,0,0,0,0,27,49,1,0,0,0,2.08,3.77,0.08,0,0,0,25.7,0,0,0,1.98,40.8,407,0.2,0,242,21,130,2,8,2,430,8,570,58,198,26,30
294,Daniel,Iversen,Iversen,Goalkeeper,11,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,37,484,46,482,46,461,24,422,15,488,46,0
295,James,Justin,Justin,Defender,11,Leicester,0.2,2.7,12,1072,2,1,2,0,0,0,26,0,1,0,0.167910448,0.083955224,2.18,0,0.08,0.5,0.2,0.7,24.66,0.04,0.02,0.06,2.07,43.9,275.2,83.3,80,334,111,118,28,51,15,181,45,154,27,148,39,32
296,Victor,Kristiansen,Kristiansen,Defender,11,Leicester,0,1.3,11,947,0,0,1,0,0,1,20,0,1,0,0,0,1.9,0,0.1,0,0.57,0.57,21.12,0,0.05,0.05,2.01,38.8,212,172.4,4,557,221,140,35,104,38,79,17,363,122,335,109,14
297,Wanya,Marçal-Madivádua,Marcal,Midfielder,11,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,213,594,247,592,245,588,249,566,240,598,249,0
298,Stephy,Mavididi,Mavididi,Midfielder,11,Leicester,0.5,2.6,7,653,2,0,2,0,0,0,11,0,1,0,0.275650842,0,1.52,0,0.14,1.02,1.94,2.96,13.32,0.14,0.27,0.41,1.84,43.3,138.2,176.8,122,298,154,120,70,191,73,75,59,103,65,168,73,31
299,Kasey,McAteer,McAteer,Midfielder,11,Leicester,0.8,1.2,1,106,0,0,0,0,0,0,1,0,0,0,0,0,0.85,0,0,0.08,0.01,0.09,2.09,0.07,0.01,0.08,1.77,2.7,9.8,4.7,15,244,124,400,197,406,196,380,204,305,167,347,169,7
300,Wilfred,Ndidi,Ndidi,Midfielder,11,Leicester,1.2,2.6,13,1075,0,4,4,0,0,1,23,0,1,0,0,0.334883721,1.93,0,0.08,1.18,1.12,2.3,22.57,0.1,0.09,0.19,1.89,57.9,274.2,152.3,154,197,100,70,43,52,17,97,73,87,53,162,67,34
301,Caleb,Okoli,Okoli,Defender,11,Leicester,0.2,1.6,9,754,0,0,1,0,0,0,17,0,1,0,0,0,2.03,0,0.12,0.14,0.04,0.18,18.9,0.02,0,0.02,2.26,26,217.4,7.1,36,316,96,224,69,99,35,367,121,238,67,284,90,14
302,Ricardo,Barbosa Pereira,Ricardo,Defender,11,Leicester,0,1,2,146,0,0,1,0,0,0,4,0,0,0,0,0,2.47,0,0,0,0.03,0.03,2.08,0,0.02,0.02,1.28,2.2,13.8,5.7,2,474,186,408,137,395,140,377,128,374,128,370,126,2
303,Harry,Souttar,Souttar,Defender,11,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,138,480,165,478,165,457,163,418,146,484,163,0
304,Jakub,Stolarczyk,Stolarczyk,Goalkeeper,11,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,45,496,53,494,53,474,32,435,23,499,53,0
305,Luke,Thomas,Thomas,Defender,11,Leicester,0,0,1,90,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0.02,0.03,0.05,2.4,0.02,0.03,0.05,2.4,3.1,7.8,13.3,10,380,126,390,131,418,145,336,109,326,107,465,155,0
306,Jamie,Vardy,Vardy,Forward,11,Leicester,1.8,4.2,12,984,4,2,3,0,0,0,24,0,1,0,0.365853659,0.182926829,2.2,0,0.09,3.51,1.14,4.65,23.83,0.32,0.1,0.42,2.18,50.5,201,111.1,194,142,18,90,19,114,16,142,14,57,20,44,14,50
307,Jannik,Vestergaard,Vestergaard,Defender,11,Leicester,0.2,1,4,415,0,0,1,0,0,0,9,0,0,0,0,0,1.95,0,0,0.01,0.03,0.04,5.88,0,0.01,0.01,1.28,11.4,92,14.8,7,312,92,315,105,251,93,331,106,339,113,363,120,5
308,Danny,Ward,Ward,Goalkeeper,11,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,31,471,40,469,40,447,17,407,8,476,40,0
309,Harry,Winks,Winks,Midfielder,11,Leicester,0.8,2.1,10,865,0,2,3,0,0,0,19,0,0,0,0,0.208092486,1.98,0,0,0.16,1.18,1.34,16.72,0.02,0.12,0.14,1.74,40,168,209.7,21,241,122,134,79,157,58,57,46,280,155,217,95,23
501,Oliver,Skipp,Skipp,Midfielder,11,Leicester,0.5,1.4,5,506,0,0,3,0,0,0,10,0,1,0,0,0,1.78,0,0.18,0.05,0.24,0.29,14.41,0.01,0.04,0.05,2.56,13.2,61,62.5,9,281,144,303,149,302,142,216,132,335,182,321,151,11
570,Abdul,Fatawu,A.Fatawu,Midfielder,11,Leicester,0.5,2.4,6,576,0,2,0,0,0,0,14,0,0,0,0,0.3125,2.19,0,0,0.41,1.42,1.83,11,0.06,0.22,0.28,1.72,40.1,147.6,104.3,148,297,153,133,78,175,65,153,102,88,54,194,86,26
606,Will,Alves,Alves,Midfielder,11,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584,239,620,269,618,267,615,271,595,262,624,271,0
